Codes;Kurztitel 2008 (max. 40 Zeichen inkl. Leerstellen)
141303;H.v. Oberbekl. oaS
1414;H.v. Wäsche
141401;H.v. Herren- u. Knabenwäsche
141402;H.v. Damen- u. Mädchenwäsche
141403;H.v. Wäsche oaS
1419;H.v. sonst. Bekl. u. Bekleidungszub.
141900;H.v. sonst. Bekl. u. Bekleidungszub.
142;H.v. Pelzwaren
1420;H.v. Pelzwaren
142000;H.v. Pelzwaren
143;H.v. Bekl. aus gewirktem, gestriktem St.
1431;H.v. Strumpfwaren
143100;H.v. Strumpfwaren
1439;H.v. sonst. Bekl. aus St.
143900;H.v. sonst. Bekl. aus St.
15;H.v. Leder, Lederwaren u. Schuhen
151;H.v. Leder, Lederwa. o. H.v. Lederbekl.
1511;H.v. Leder u. Lederfaserst.
151100;H.v. Leder u. Lederfaserst.
1512;Lederverarb. o. H.v. Lederbekl.
151200;H.v. Reiseart., Leder- u. Sattlerwa.
152;H.v. Schuhen
1520;H.v. Schuhen
152000;H.v. Schuhen
16;H.v. Holz-, Flecht-, Korb- u. Korkwa.
161;Säge-, Hobel- u. Holzimprägnierw.
1610;Säge-, Hobel- u. Holzimprägnierw.
161001;Sägewerke
161002;Holzhobelw. u. Holzoberflächenbeh.
161003;Holzimprägnierw.
162;H.v. sonst. Holz-, Flecht- u. Korbwa.
1621;H.v. Furnier-, Sperrholzplatten usw.
162100;H.v. Furnier-, Sperrholzplatten usw.
1622;H.v. Parketttafeln
162200;H.v. Parketttafeln
1623;H.v. sonst. Konstr.- u. Fertigbaut.
162301;Bauschreinerei, Fenster u. Türen
162302;Schreinerarb. im Innenausbau
162303;H.v. Fertigbauteilen aus Holz
1624;H.v. Verpackungsm., Lagerbehältern usw.
162400;H.v. Verpackungsm., Lagerbehältern usw.
1629;H.v. Holzwaren a.n.g., Korkwaren usw.
162900;H.v. Holzwaren a.n.g., Korkwaren usw.
17;H.v. Papier, Pappe u. Waren daraus
171;H.v. Holz- u. Zellst., Papier usw.
1711;H.v. Holz- u. Zellst.
171100;H.v. Holz- u. Zellst.
1712;H.v. Papier, Karton u. Pappe
171200;H.v. Papier, Karton u. Pappe
172;H.v. Waren aus Papier, Karton u. Pappe
1721;H.v. Wellpapier, -pappe u. Verpackungsm.
172100;H.v. Wellpapier, -pappe u. Verpackungsm.
1722;H.v. Haushalts-, Hygieneart. aus Papier
172200;H.v. Haushalts-, Hygieneart. aus Papier
1723;H.v. Schreibwa., Bürobedarf aus Papier
172300;H.v. Schreibwa., Bürobedarf aus Papier
1724;H.v. Tapeten
172400;H.v. Tapeten
1729;H.v. sonst. Waren aus Papier usw.
172900;H.v. sonst. Waren aus Papier usw.
18;"H.v. Druckerz.; Vervielf. v. Datenträger"
181;H.v. Druckerz.
1811;Drucken v. Zeitungen
181100;Drucken v. Zeitungen
1812;Drucken a.n.g.
181201;Offsetdruck
181202;Siebdruck
181203;Lichtpause- u. Reprografiebetriebe
181204;Sonst. Drucken a.n.g.
1813;Druck- u. Medienvorstufe
181301;DL f. die Druckvorb.
181302;Sonst. druckbezogenen DL
1814;Binden v. Druckerz. u. damit verb. DL
181400;Binden v. Druckerz. u. damit verb. DL
182;Vervielf. v. besp. Datenträgern
1820;Vervielf. v. besp. Datenträgern
182000;Vervielf. v. besp. Datenträgern
19;Kokerei u. Mineralölverarb.
191;Kokerei
1910;Kokerei
191000;Kokerei
192;Mineralölverarb.
1920;Mineralölverarb.
192000;Mineralölverarb.
20;H.v. chem. Erzeugnissen
201;H.v. chem. Grundst., Düngem. usw.
2011;H.v. Industriegasen
201100;H.v. Industriegasen
2012;H.v. Farbst. u. Pigmenten
201200;H.v. Farbst. u. Pigmenten
2013;H.v. sonst. anorg. Grundst.
201300;H.v. sonst. anorg. Grundst.
2014;H.v. sonst. organ. Grundst.
201400;H.v. sonst. organ. Grundst.
2015;H.v. Düngem. u. Stickstoffverbin.
201500;H.v. Düngem. u. Stickstoffverbin.
2016;H.v. Kunstst. in Primärf.
201600;H.v. Kunstst. in Primärf.
2017;H.v. synt. Kautschuk in Primärf.
201700;H.v. synt. Kautschuk in Primärf.
202;H.v. Schädlingsbekämpfungsm. usw.
2020;H.v. Schädlingsbekämpfungsm. usw.
202000;H.v. Schädlingsbekämpfungsm. usw.
203;H.v. Anstrichm., Druckfarben u. Kitten
2030;H.v. Anstrichm., Druckfarben u. Kitten
203000;H.v. Anstrichm., Druckfarben u. Kitten
204;H.v. Seifen, Körperpflegem. usw.
2041;H.v. Seifen, Körperpflegem. usw.
204100;H.v. Seifen, Körperpflegem. usw.
2042;H. v. Körperpflegem. u. Duftst.
204200;H. v. Körperpflegem. u. Duftst.
205;H.v. sonst. chem. Erzeugnissen
2051;H.v. pyrotechn. Erzeugnissen
205100;H.v. pyrotechn. Erzeugnissen
2052;H.v. Klebstoffen
205200;H.v. Klebstoffen
2053;H.v. ätherischen Ölen
205300;H.v. ätherischen Ölen
2059;H.v. sonst. chem. Erz. a.n.g.
205900;H.v. sonst. chem. Erz. a.n.g.
206;H.v. Chemiefasern
2060;H.v. Chemiefasern
206000;H.v. Chemiefasern
21;H.v. pharma. Erzeugnissen
211;H.v. pharma. Grundst.
2110;H.v. pharma. Grundst.
211000;H.v. pharma. Grundst.
212;H.v. sonst. pharma. Erzeugnissen
2120;H.v. sonst. pharma. Erzeugnissen
212000;H.v. sonst. pharma. Erzeugnissen
22;H.v. Gummi- u. Kunststoffwaren
221;H.v. Gummiwaren
2211;H.u. Runderneuerung v. Bereifungen
221100;H.u. Runderneuerung v. Bereifungen
2219;H.v. sonst. Gummiwaren
221900;H.v. sonst. Gummiwaren
222;H.v. Kunststoffwaren
2221;H.v. Kunststoffplatten, -folien, usw.
222100;H.v. Kunststoffplatten, -folien, usw.
2222;H.v. Verpackungsm. aus Kunstst.
222200;H.v. Verpackungsm. aus Kunstst.
2223;H.v. Baubedarfsart. aus Kunstst.
222300;H.v. Baubedarfsart. aus Kunstst.
2229;H.v. sonst. Kunststoffwaren
222900;H.v. sonst. Kunststoffwaren
23;H.v. Glas u. Glaswa., Keramik usw.
231;H.v. Glas u. Glaswaren
2311;H.v. Flachglas
231100;H.v. Flachglas
2312;Veredlung u. Bearb. v. Flachglas
231200;Veredlung u. Bearb. v. Flachglas
2313;H.v. Hohlglas
231300;H.v. Hohlglas
2314;H.v. Glasfasern u. Waren daraus
231400;H.v. Glasfasern u. Waren daraus
2319;H, Veredlung u. Bearb. v. sonst. Glasw.
231900;H, Veredlung u. Bearb. v. sonst. Glasw.
232;H.v. feuerfesten keram. Werkst. u. Wa.
2320;H.v. feuerfesten keram. Werkst. u. Wa.
232000;H.v. feuerfesten keram. Werkst. u. Wa.
233;H.v. keram. Baumat.
2331;H.v. keram. Wand- u. Bodenfliesen
233100;H.v. keram. Wand- u. Bodenfliesen
2332;H.v. Ziegeln u. sonst. Baukeram.
233200;H.v. Ziegeln u. sonst. Baukeram.
234;H.v. sonst. Porzellan- u. keram. Erz.
2341;H.v. keram. Haushaltswa. u. Ziergegenst.
234100;H.v. keram. Haushaltswa. u. Ziergegenst.
2342;H.v. Sanitärkeramik
234200;H.v. Sanitärkeramik
2343;H.v. keram. Isolatoren u. Isoliert.
234300;H.v. keram. Isolatoren u. Isoliert.
2344;H.v. sonst. keram. Erz. f. techn. Zwecke
234400;H.v. sonst. keram. Erz. f. techn. Zwecke
2349;H.v. sonst. keram. Erzeugnissen
234900;H.v. sonst. keram. Erzeugnissen
235;H.v. Zement, Kalk u. Gips
2351;H.v. Zement
235100;H.v. Zement
2352;H.v. Kalk u. Gips
235200;H.v. Kalk u. Gips
236;H.v. Erz. aus Beton, Zement u. Gips
2361;H.v. Erz. f. den Bau aus Beton usw.
236100;H.v. Erz. f. den Bau aus Beton usw.
2362;H.v. Gipserz. f. den Bau
236200;H.v. Gipserz. f. den Bau
2363;H.v. Frischbeton
236300;H.v. Frischbeton
2364;H.v. Mörtel u. Trockenbeton
236400;H.v. Mörtel u. Trockenbeton
